Chr_ann1,Start_ann1,End_ann1,Chr_ann2,Start_ann2,End_ann2,ChIN,Annotation1,Annotation2
Chr01,2826905,2828218,Chr01,2840068,2847554,7,MH01g0070000,MH01g0070200
Chr01,2840068,2847554,Chr01,2883035,2887903,15,MH01g0070200,MH01g0071400
Chr01,2840068,2847554,Chr01,2978818,2989051,12,MH01g0070200,MH01g0073800
Chr01,2840068,2847554,Chr01,2989832,2992262,4,MH01g0070200,MH01g0073900
Chr01,2840068,2847554,Chr01,4393417,4401143,4,MH01g0070200,MH01g0096500
Chr01,2840068,2847554,Chr01,36716418,36722504,4,MH01g0070200,MH01g0731100
Chr01,2883035,2887903,Chr01,2978818,2989051,24,MH01g0071400,MH01g0073800
Chr01,2883035,2887903,Chr01,2989832,2992262,4,MH01g0071400,MH01g0073900
Chr01,2883035,2887903,Chr01,28710449,28729283,4,MH01g0071400,NA
Chr01,2967032,2968564,Chr01,2978818,2989051,12,MH01g0073500,MH01g0073800
Chr01,2978818,2989051,Chr01,2978818,2989051,16,MH01g0073800,MH01g0073800
Chr01,2978818,2989051,Chr01,2989832,2992262,44,MH01g0073800,MH01g0073900
Chr01,2978818,2989051,Chr01,2992321,2993043,21,MH01g0073800,MH01g0073900
Chr01,2978818,2989051,Chr01,2993068,2994316,38,MH01g0073800,MH01g0073900
Chr01,2978818,2989051,Chr01,2994508,2995639,40,MH01g0073800,MH01g0073900
Chr01,2978818,2989051,Chr01,3156475,3164783,13,MH01g0073800,MH01g0077500
Chr01,2978818,2989051,Chr01,3277479,3285727,13,MH01g0073800,MH01g0079700
Chr01,2978818,2989051,Chr01,3530560,3542510,19,MH01g0073800,MH01g0083800
Chr01,2978818,2989051,Chr01,3633004,3635110,4,MH01g0073800,MH01g0085600
Chr01,2978818,2989051,Chr01,3677860,3682294,5,MH01g0073800,MH01g0086500
Chr01,2978818,2989051,Chr01,4292063,4300718,7,MH01g0073800,MH01g0095000
Chr01,2978818,2989051,Chr01,4346735,4351614,6,MH01g0073800,MH01g0095900
Chr01,2978818,2989051,Chr01,4393417,4401143,18,MH01g0073800,MH01g0096500
Chr01,2978818,2989051,Chr01,4483554,4493632,9,MH01g0073800,MH01g0097500
Chr01,2978818,2989051,Chr01,5065044,5068654,5,MH01g0073800,MH01g0115600
Chr01,2978818,2989051,Chr01,6545072,6555980,6,MH01g0073800,MH01g0138300
Chr01,2978818,2989051,Chr01,7681838,7688968,10,MH01g0073800,MH01g0157900
Chr01,2978818,2989051,Chr01,8379858,8393130,14,MH01g0073800,MH01g0170900
Chr01,2978818,2989051,Chr01,9749634,9754646,4,MH01g0073800,MH01g0193200
Chr01,2978818,2989051,Chr01,10877154,10880173,6,MH01g0073800,MH01g0241600
Chr01,2978818,2989051,Chr01,15330484,15342220,11,MH01g0073800,MH01g0315700
Chr01,2978818,2989051,Chr01,15409212,15416832,12,MH01g0073800,NA
Chr01,2978818,2989051,Chr01,23822807,23832031,4,MH01g0073800,MH01g0480100
Chr01,2978818,2989051,Chr01,24026804,24038584,6,MH01g0073800,MH01g0483300
Chr01,2978818,2989051,Chr01,24125593,24133155,5,MH01g0073800,MH01g0484800
Chr01,2978818,2989051,Chr01,26321868,26327201,4,MH01g0073800,MH01g0519800
Chr01,2978818,2989051,Chr01,28564662,28569878,6,MH01g0073800,MH01g0564100
Chr01,2978818,2989051,Chr01,28710449,28729283,18,MH01g0073800,NA
Chr01,2978818,2989051,Chr01,30399374,30406482,8,MH01g0073800,MH01g0596700
Chr01,2978818,2989051,Chr01,30450569,30456589,4,MH01g0073800,MH01g0598100
Chr01,2978818,2989051,Chr01,31702411,31713111,11,MH01g0073800,MH01g0626900
Chr01,2978818,2989051,Chr01,33568029,33573281,9,MH01g0073800,MH01g0668500
Chr01,2978818,2989051,Chr01,33595733,33604220,10,MH01g0073800,MH01g0669000
Chr01,2978818,2989051,Chr01,35454211,35459929,5,MH01g0073800,MH01g0699000
Chr01,2978818,2989051,Chr01,35801377,35806894,6,MH01g0073800,MH01g0704900
Chr01,2978818,2989051,Chr01,35935230,35954224,12,MH01g0073800,MH01g0707200
Chr01,2978818,2989051,Chr01,36398025,36409197,7,MH01g0073800,MH01g0725100
Chr01,2978818,2989051,Chr01,36716418,36722504,12,MH01g0073800,MH01g0731100
Chr01,2978818,2989051,Chr01,37153415,37160409,5,MH01g0073800,MH01g0738600
Chr01,2978818,2989051,Chr01,37907136,37916208,14,MH01g0073800,MH01g0750900
Chr01,2978818,2989051,Chr01,38689953,38698955,7,MH01g0073800,MH01g0773900
Chr01,2978818,2989051,Chr01,39041355,39052820,9,MH01g0073800,MH01g0780100
Chr01,2978818,2989051,Chr01,39701118,39712672,10,MH01g0073800,MH01g0790800
Chr01,3126970,3131837,Chr01,3143264,3144924,7,MH01g0077000,MH01g0077300
Chr01,3126970,3131837,Chr01,3156475,3164783,10,MH01g0077000,MH01g0077500
Chr01,3132074,3133855,Chr01,3143264,3144924,6,MH01g0077100,MH01g0077300
Chr01,3132074,3133855,Chr01,3156475,3164783,7,MH01g0077100,MH01g0077500
Chr01,3143264,3144924,Chr01,3156475,3164783,9,MH01g0077300,MH01g0077500
Chr01,3156475,3164783,Chr01,3229382,3230659,6,MH01g0077500,MH01g0078700
Chr01,3156475,3164783,Chr01,3277479,3285727,7,MH01g0077500,MH01g0079700
Chr01,3156475,3164783,Chr01,3292849,3293864,4,MH01g0077500,MH01g0079900
Chr01,3156475,3164783,Chr01,3530560,3542510,11,MH01g0077500,MH01g0083800
Chr01,3229382,3230659,Chr01,3277479,3285727,7,MH01g0078700,MH01g0079700
Chr01,3245814,3247892,Chr01,3677860,3682294,4,MH01g0079100,MH01g0086500
Chr01,3277479,3285727,Chr01,3292849,3293864,6,MH01g0079700,MH01g0079900
Chr01,3277479,3285727,Chr01,3302597,3307515,19,MH01g0079700,MH01g0080000
Chr01,3277479,3285727,Chr01,3310844,3311988,8,MH01g0079700,MH01g0080100
Chr01,3277479,3285727,Chr01,3530560,3542510,12,MH01g0079700,NA
Chr01,3277479,3285727,Chr01,3988347,3991902,4,MH01g0079700,MH01g0090500
Chr01,3277479,3285727,Chr01,4133968,4146779,5,MH01g0079700,MH01g0092800
Chr01,3277479,3285727,Chr01,4292063,4300718,5,MH01g0079700,MH01g0095000
Chr01,3277479,3285727,Chr01,4393417,4401143,9,MH01g0079700,MH01g0096500
Chr01,3277479,3285727,Chr01,8379858,8393130,6,MH01g0079700,MH01g0170900
Chr01,3277479,3285727,Chr01,28944311,28955845,5,MH01g0079700,MH01g0571200
Chr01,3277479,3285727,Chr01,35801377,35806894,4,MH01g0079700,MH01g0704900
Chr01,3277479,3285727,Chr01,36008629,36016307,4,MH01g0079700,MH01g0708800
Chr01,3277479,3285727,Chr01,36716418,36722504,5,MH01g0079700,MH01g0731100
Chr01,3292849,3293864,Chr01,3302597,3307515,7,MH01g0079900,MH01g0080000
Chr01,3302597,3307515,Chr01,3316597,3317271,5,MH01g0080000,MH01g0080200
Chr01,3530560,3542510,Chr01,3530560,3542510,28,NA,NA
Chr01,3530560,3542510,Chr01,3547313,3547867,41,NA,MH01g0083900
Chr01,3530560,3542510,Chr01,3633004,3635110,5,NA,MH01g0085600
Chr01,3530560,3542510,Chr01,3643064,3643778,8,NA,MH01g0085900
Chr01,3530560,3542510,Chr01,3677860,3682294,17,NA,MH01g0086500
Chr01,3530560,3542510,Chr01,3724023,3726841,4,NA,MH01g0087100
Chr01,3530560,3542510,Chr01,3929498,3940436,9,NA,MH01g0089900
Chr01,3530560,3542510,Chr01,4133968,4146779,8,NA,MH01g0092800
Chr01,3530560,3542510,Chr01,4373154,4387080,8,NA,MH01g0096400
Chr01,3530560,3542510,Chr01,4393417,4401143,19,NA,MH01g0096500
Chr01,3530560,3542510,Chr01,4483554,4493632,11,NA,MH01g0097500
Chr01,3530560,3542510,Chr01,8012132,8025349,7,NA,MH01g0164000
Chr01,3530560,3542510,Chr01,13171599,13180482,4,NA,MH01g0280200
Chr01,3530560,3542510,Chr01,21316190,21330134,6,NA,MH01g0428600
Chr01,3530560,3542510,Chr01,21631908,21638430,11,NA,MH01g0443100
Chr01,3530560,3542510,Chr01,21656840,21665953,4,NA,MH01g0443500
Chr01,3530560,3542510,Chr01,26891863,26900220,4,NA,MH01g0528100
Chr01,3530560,3542510,Chr01,28072382,28076387,5,NA,MH01g0546900
Chr01,3530560,3542510,Chr01,28710449,28729283,11,NA,NA
Chr01,3530560,3542510,Chr01,36127262,36134426,5,NA,MH01g0710600
Chr01,3530560,3542510,Chr01,36527506,36538159,5,NA,MH01g0727100
Chr01,3530560,3542510,Chr01,38689953,38698955,5,NA,MH01g0773900
Chr01,3668605,3670546,Chr01,3677860,3682294,7,MH01g0086400,MH01g0086500
Chr01,3677860,3682294,Chr01,3724023,3726841,4,MH01g0086500,MH01g0087100
Chr01,3677860,3682294,Chr01,4393417,4401143,12,MH01g0086500,MH01g0096500
Chr01,3677860,3682294,Chr01,7681838,7688968,4,MH01g0086500,MH01g0157900
Chr01,3677860,3682294,Chr01,21631908,21638430,6,MH01g0086500,MH01g0443100
Chr01,3804145,3807887,Chr01,3844775,3845631,4,MH01g0088300,MH01g0088700
Chr01,3804145,3807887,Chr01,3862183,3863916,5,MH01g0088300,MH01g0088800
Chr01,3888046,3888362,Chr01,3929498,3940436,4,MH01g0089200,MH01g0089900
Chr01,3888046,3888362,Chr01,4133968,4146779,4,MH01g0089200,MH01g0092800
Chr01,3909577,3911778,Chr01,3918950,3923028,8,MH01g0089600,MH01g0089700
Chr01,3909577,3911778,Chr01,3929498,3940436,8,MH01g0089600,MH01g0089900
Chr01,3918950,3923028,Chr01,3929498,3940436,39,MH01g0089700,MH01g0089900
Chr01,3918950,3923028,Chr01,4011233,4017007,4,MH01g0089700,MH01g0090700
Chr01,3929425,3930261,Chr01,3929498,3940436,5,MH01g0089800,MH01g0089900
Chr01,3929498,3940436,Chr01,3929498,3940436,8,MH01g0089900,MH01g0089900
Chr01,3929498,3940436,Chr01,3951167,3952201,15,MH01g0089900,MH01g0090000
Chr01,3929498,3940436,Chr01,3959587,3962227,16,MH01g0089900,MH01g0090100
Chr01,3929498,3940436,Chr01,3988347,3991902,5,MH01g0089900,MH01g0090500
Chr01,3929498,3940436,Chr01,4011233,4017007,8,MH01g0089900,MH01g0090700
Chr01,3929498,3940436,Chr01,4062154,4068507,4,MH01g0089900,MH01g0091300
Chr01,3929498,3940436,Chr01,4133968,4146779,7,MH01g0089900,MH01g0092800
Chr01,3929498,3940436,Chr01,4292063,4300718,4,MH01g0089900,MH01g0095000
Chr01,3929498,3940436,Chr01,4373154,4387080,4,MH01g0089900,MH01g0096400
Chr01,3929498,3940436,Chr01,4393417,4401143,7,MH01g0089900,MH01g0096500
Chr01,3929498,3940436,Chr01,4483554,4493632,7,MH01g0089900,MH01g0097500
Chr01,3929498,3940436,Chr01,30356052,30368942,5,MH01g0089900,MH01g0596100
Chr01,3959587,3962227,Chr01,3969677,3971961,5,MH01g0090100,MH01g0090300
Chr01,3959587,3962227,Chr01,4011233,4017007,4,MH01g0090100,MH01g0090700
Chr01,3988347,3991902,Chr01,4011233,4017007,23,MH01g0090500,MH01g0090700
Chr01,3988347,3991902,Chr01,4133968,4146779,4,MH01g0090500,MH01g0092800
Chr01,3988347,3991902,Chr01,4483554,4493632,5,MH01g0090500,MH01g0097500
Chr01,4011233,4017007,Chr01,4133968,4146779,4,MH01g0090700,MH01g0092800
Chr01,4062154,4068507,Chr01,4133968,4146779,8,MH01g0091300,MH01g0092800
Chr01,4120471,4121688,Chr01,4133968,4146779,10,MH01g0092400,MH01g0092800
Chr01,4133968,4146779,Chr01,4133968,4146779,63,MH01g0092800,MH01g0092800
Chr01,4133968,4146779,Chr01,4156719,4157348,5,MH01g0092800,NA
